site,lat,lon,Kelvindist,nearrivdis,Clydedist,Elevation,prop_woodland,prop_wetland,prop_urban,prop_freshwater,prop_grassland,prop_arable,prop_coast,dist_allotment,dist_cemetery,dist_parks,dist_motorway,dist_majorroad,dist_minorroad,dist_canal,dist_lake,dist_river,dist_streetlight,streetlight_density,newClydedist0,newClydedist2
E1,55.897652999999998,-4.316999,275.0977,236.854,3674.324,57,0.825,0,0.063,0,0.112,0,0,554.587536969399707,1943.219112909652040,638.397444438341608,3927.817087471916238,35.532192012068130,0,207.492657184996773,5477.801322476957466,109.166119092839196,98.539,3,7437.441681,7494.494923
E2,55.895820000000001,-4.316469,464.4321,168.059,3467.694,56,0.72,0,0,0,0.28,0,0,669.044091324697547,1946.349210718989070,713.056405213611015,3817.764631824741173,118.370069877309376,12.704970897336301,40.490352808704507,5680.881438716748562,257.425013374593561,155.927,0,7437.441681,7442.917217
F0,55.895496000000001,-4.301843,11.4112,11.411,3439.399,22,0.431,0,0.524,0,0.031,0.014,0,472.235089501565426,1069.197998104800490,279.692897799991101,3364.357079957723727,66.440749964300366,0,175.559580790511831,5767.619719466383685,0,66.902,20,6243.755379,6243.755379
F1,55.896735999999997,-4.298619,255.0596,255.06,3609.08,46,0,0,1.000000000000000,0,0,0,0,479.890307636222246,835.202541799315668,115.482062072142583,3363.739196877813811,0,0,252.337044772278830,5661.476397829584130,128.079543525385162,14.1,49,6243.755379,6251.720929
F2,55.897894999999998,-4.295107,509.8282,509.828,3782.466,41,0.041,0,0.909,0,0,0.05,0,597.404113555683239,590.902687329542346,0,3363.205179897537164,175.432862595416850,0,416.274146236160448,5576.637696929885351,382.844033000477054,17.287,47,6243.755379,6249.140007
G0,55.884608000000000,-4.290392,10.9699,10.97,2500.82,19,0.475,0,0.518,0,0.006,0,0,0,1539.651137017669043,138.394208506028349,1969.353838629550864,301.197367345870703,0,420.749945849124572,6965.948151331504960,0,48.715,11,4584.62648,4584.62648
G1,55.883367999999997,-4.29376,191.815,191.815,2281.471,33,0.01,0,0.897,0,0.019,0.074,0,0,1733.165533448873703,56.788151145218848,2016.199837648367293,268.517310779978686,0,672.679410939795162,7165.312104332696435,64.737566018961871,36.118,24,4584.62648,4742.141068
G2,55.882883000000000,-4.297946,370.1199,370.12,2129.556,37,0.004,0,0.996,0,0,0,0,0,1884.215695488692518,170.817959111796910,2182.579198091137641,85.330110323867046,0,858.431668773053957,7191.875225220220273,243.019225769230388,39.083,24,4584.62648,4742.141068
H0,55.879460000000002,-4.285388,22.6091,22.609,2218.31,19,0.222,0,0.71,0.066,0,0.002,0,421.456444378068454,2064.256566202147951,0,1336.587239405712126,0,0,432.836209857025892,6624.710150992160379,0,26.632,33,3555.958993,3555.958993
H1,55.880619000000003,-4.282212,254.5982,254.598,2449.03,44,0.008,0,0.992,0,0,0,0,475.179317750791142,1929.998737929602385,155.659116696018117,1302.426874958870030,0,0,195.894090813759391,6428.596732225607411,127.444138287618685,6.673,65,3555.958993,3526.267968
H2,55.882559999999998,-4.280095,500.0382,97.346,2696.677,39,0.029,0,0.961,0,0,0.01,0,512.428194358903056,1711.253837382173288,100.044845842554025,1414.867426177399921,0,0,0,6306.217185985142351,372.738904679481834,8.918,30,3555.958993,3526.267968
I0,55.870269999999998,-4.289816,60.8756,60.876,1374.961,12,0.66,0,0.313,0.016,0.008,0.002,0,1283.106035660604221,3038.152443001530173,0,1080.436254965715534,376.938978103822876,0,1373.473183074340795,6967.089735252563514,0,23.657,11,1436.700165,1436.700165
I1,55.872183999999997,-4.289576,270.7165,270.717,1492.461,37,0.022,0,0.977,0,0,0,0,1091.134822699713141,2893.051031728027738,37.308423442710669,1139.371037770527437,273.892740013547609,0,1191.326743319441221,6926.572170785794697,142.919644603859183,35.236,16,1436.700165,1394.402647
I2,55.874609000000000,-4.289047,477.0158,477.016,1679.714,50,0,0,1.000000000000000,0,0,0,0,862.548300766489547,2621.063843796619039,262.206828036580134,1234.846035348931991,159.726234713454062,0,966.174722667610354,6869.753229725884012,348.549320136520294,8.997,34,1436.700165,1394.402647
J0,55.867440000000002,-4.304138,21.4139,21.414,442.987,1,0.012,0,0.89,0,0,0.012,0.086,734.194813558988585,2473.175902802692235,17.344784174776308,1822.625604025104394,0,0,2199.049064397710936,7900.188028054918504,0,3.539,36,428.3715368,428.3715368
J1,55.866334999999999,-4.300341,263.3707,263.371,601.22,18,0.226,0,0.622,0,0.055,0.098,0,707.008052335351863,2576.211365322689744,0,1577.961596508085449,0,0,2122.466922952512959,7686.689960197973051,136.234245779147273,110.986,4,428.3715368,428.3715368
J2,55.863909999999997,-4.299476,502.765,151.968,644.016,4,0,0,0.888,0,0,0,0.112,519.204071845307908,2466.034501468312556,71.143594549154656,1367.721642632958492,0,0,2299.981810088394013,7686.708281090898708,24.390900847841525,18.479,27,428.3715368,353.6065212
