id,light_dens,kelvindist,roaddist,urbanprop,clydedist,X,Y,site
"27661","75",337.4431829000,120.4780725000,0.8564022810,"7775",254881.81100000,669721.39440000,E1
"27662","79",325.0876127000,96.5616055300,0.8439276480,"7775",254906.81100000,669721.39440000,E1
"27663","78",314.2385449000,72.6451385100,0.8242612750,"7775",254931.81100000,669721.39440000,E1
"27664","78",304.1689666000,48.7286714900,0.7906976740,"7775",254956.81100000,669721.39440000,E1
"27665","75",294.0993882000,24.8122044600,0.7636080870,"7750",254981.81100000,669721.39440000,E1
"27666","70",284.0298099000,0.8957374460,0.7281653740,"7725",255006.81100000,669721.39440000,E1
"27667","66",273.9602316000,17.3876610800,0.6910316220,"7700",255031.81100000,669721.39440000,E1
"27668","61",261.1010083000,40.0690743100,0.6465116270,"7600",255056.81100000,669721.39440000,E1
"27669","59",244.1113468000,62.7504875400,0.6039398650,"7575",255081.81100000,669721.39440000,E1
"27670","54",227.1216853000,85.4319007700,0.5514211880,"7550",255106.81100000,669721.39440000,E1
"27671","51",210.4981639000,108.1133140000,0.5002592010,"7550",255131.81100000,669721.39440000,E1
"27672","48",195.5748739000,130.7947272000,0.4583979320,"7550",255156.81100000,669721.39440000,E1
"27673","44",182.7329629000,153.4761404000,0.4116122340,"7550",255181.81100000,669721.39440000,E1
"27674","41",170.4541741000,176.1575536000,0.3576227390,"7525",255206.81100000,669721.39440000,E1
"27675","35",158.1753854000,198.9795269000,0.3037843440,"7500",255231.81100000,669721.39440000,E1
"27676","24",146.3492235000,222.2498579000,0.2547803610,"7500",255256.81100000,669721.39440000,E1
"27677","16",137.6993909000,245.8534585000,0.2089165370,"7475",255281.81100000,669721.39440000,E1
"27678","10",131.0185470000,269.6993739000,0.1705426350,"7475",255306.81100000,669721.39440000,E0
"27679","7",124.3377032000,293.7372662000,0.1347848620,"7450",255331.81100000,669721.39440000,E0
"27680","3",119.4938450000,317.9235927000,0.1018087850,"7450",255356.81100000,669721.39440000,E0
"27681","0",119.7386039000,342.2265013000,0.0705028510,"7425",255381.81100000,669721.39440000,E0
"27682","0",123.0886912000,366.5715050000,0.0490956070,"7425",255406.81100000,669721.39440000,E0
"27683","0",126.4653190000,390.9165087000,0.0393986520,"7400",255431.81100000,669721.39440000,E0
"27684","0",129.8419468000,403.4138752000,0.0310077510,"7375",255456.81100000,669721.39440000,E0
"27685","2",133.2185746000,383.8921549000,0.0311041990,"7350",255481.81100000,669721.39440000,E0
"27686","4",136.5952024000,364.3704347000,0.0439276480,"7325",255506.81100000,669721.39440000,E0
"27687","4",139.9718301000,345.1042567000,0.0601347840,"7300",255531.81100000,669721.39440000,E0
"27688","5",143.3484579000,326.6077324000,0.0790697670,"7275",255556.81100000,669721.39440000,E0
"27689","7",146.7250857000,309.0115956000,0.0917573870,"7250",255581.81100000,669721.39440000,E0
"27690","8",150.1017135000,292.4780824000,0.1043927640,"7225",255606.81100000,669721.39440000,E0
"27691","9",153.4783413000,276.9434879000,0.1083462930,"7200",255631.81100000,669721.39440000,E0
"27692","10",156.8549691000,261.5006965000,0.1167958650,"7175",255656.81100000,669721.39440000,E0
"27693","16",151.4834436000,246.0528230000,0.1176775530,"7000",255681.81100000,669721.39440000,E0
"27694","21",137.0576081000,230.6049495000,0.1317829450,"7000",255706.81100000,669721.39440000,D1
"27695","29",125.9854841000,215.7026544000,0.1482633480,"7000",255731.81100000,669721.39440000,D1
"27696","36",118.7865075000,202.7141664000,0.1679586560,"7000",255756.81100000,669721.39440000,D1
"27697","42",99.8302812800,191.1666062000,0.1871435970,"6750",255781.81100000,669721.39440000,D1
"27698","48",78.7516423200,179.6449206000,0.2113695090,"6775",255806.81100000,669721.39440000,D1
"27699","53",57.6730033600,168.1232351000,0.2332814930,"6775",255831.81100000,669721.39440000,D1
"27700","59",34.4884307000,156.6015496000,0.2547803610,"6825",255856.81100000,669721.39440000,D1
"27701","66",9.4952633460,145.0798641000,0.2716433380,"6825",255881.81100000,669721.39440000,F0
"27702","68",15.4979040100,133.5581785000,0.2883720930,"6825",255906.81100000,669721.39440000,F0
"27703","72",40.4910713800,122.0364930000,0.3017107300,"6825",255931.81100000,669721.39440000,F0
"27704","71",65.4842387400,110.5148075000,0.3328165370,"6825",255956.81100000,669721.39440000,F0
"27705","74",90.4774061000,98.9931220100,0.3742871950,"6825",255981.81100000,669721.39440000,F0
"27706","74",115.4705734000,87.4714364800,0.4242894050,"6825",256006.81100000,669721.39440000,F0
"27707","78",140.4637408000,75.4214122000,0.4852255050,"6825",256031.81100000,669721.39440000,F0
"27708","85",165.4569081000,60.4494993100,0.5462532300,"6825",256056.81100000,669721.39440000,F0
"27709","92",190.4500755000,45.4775864200,0.6111975110,"6825",256081.81100000,669721.39440000,F0
"27710","98",215.4432429000,29.8729318700,0.6733850120,"6825",256106.81100000,669721.39440000,F0
"27711","103",240.4364102000,13.1594433900,0.7350959040,"6825",256131.81100000,669721.39440000,F0
"27712","107",265.4295776000,0.4280672570,0.7875968990,"6825",256156.81100000,669721.39440000,F0
"27713","108",290.4227450000,20.4981675400,0.8325557280,"6825",256181.81100000,669721.39440000,F0
"27714","114",315.4159123000,40.5321326100,0.8620155030,"6825",256206.81100000,669721.39440000,F1
"27715","116",337.3760726000,60.0117170600,0.8792120270,"6450",256231.81100000,669721.39440000,F1
"27716","118",354.9906528000,79.1168981900,0.8904392760,"6450",256256.81100000,669721.39440000,F1
"27717","118",372.6052331000,99.8664114100,0.9009849660,"6425",256281.81100000,669721.39440000,F1
"27718","118",390.2198133000,121.1479378000,0.9121447020,"6400",256306.81100000,669721.39440000,F1
"27719","118",407.8343936000,142.4294642000,0.9248315180,"6400",256331.81100000,669721.39440000,F1
"27720","118",425.4489738000,163.8527398000,0.9385012920,"6375",256356.81100000,669721.39440000,F1
"27721","120",443.0635540000,185.7333046000,0.9517884910,"6350",256381.81100000,669721.39440000,F1
"27722","125",460.6781343000,207.6174737000,0.9658914720,"6350",256406.81100000,669721.39440000,F1
"27723","133",478.2927145000,229.5022677000,0.9740798340,"6325",256431.81100000,669721.39440000,F1
"27724","132",495.9072947000,251.3883130000,0.9767441860,"6300",256456.81100000,669721.39440000,F2
"27864","98",489.2537660000,319.0900975000,0.9451629590,"7800",254681.81100000,669696.39440000,E1
"27865","97",470.3012883000,295.1736305000,0.9325726140,"7800",254706.81100000,669696.39440000,E1
"27866","95",451.9373365000,271.2571635000,0.9151577850,"7800",254731.81100000,669696.39440000,E1
"27867","94",434.2365834000,247.3406964000,0.8962655600,"7800",254756.81100000,669696.39440000,E1
"27868","94",417.2834344000,223.4242294000,0.8872219340,"7800",254781.81100000,669696.39440000,E1
"27869","92",401.1726796000,199.5077624000,0.8807053940,"7800",254806.81100000,669696.39440000,E1
"27870","84",386.0098096000,175.5912954000,0.8773926530,"7800",254831.81100000,669696.39440000,E1
"27871","87",371.9107788000,151.6748283000,0.8755186720,"7775",254856.81100000,669696.39440000,E1
"27872","82",359.0009494000,127.7583613000,0.8660113810,"7775",254881.81100000,669696.39440000,E1
"27873","85",347.4129185000,103.8418943000,0.8490663900,"7775",254906.81100000,669696.39440000,E1
"27874","85",337.1209309000,79.9254273200,0.8210036210,"7775",254931.81100000,669696.39440000,E1
"27875","84",327.0513526000,56.2457792400,0.7857883810,"7750",254956.81100000,669696.39440000,E1
"27876","81",316.9817743000,33.4896075200,0.7527159850,"7750",254981.81100000,669696.39440000,E1
"27877","80",306.9121960000,10.8081942900,0.7188796680,"7725",255006.81100000,669696.39440000,E1
"27878","73",296.4305553000,6.8732189280,0.6839110190,"7600",255031.81100000,669696.39440000,E1
"27879","66",279.4408938000,29.5546321500,0.6493775930,"7575",255056.81100000,669696.39440000,E1
"27880","60",262.4512323000,52.2360453800,0.6063114330,"7550",255081.81100000,669696.39440000,E1
"27881","55",245.7106077000,74.9174586100,0.5534232360,"7550",255106.81100000,669696.39440000,E1
"27882","51",230.3557184000,97.5988718400,0.4987066730,"7550",255131.81100000,669696.39440000,E1
"27883","50",216.8036237000,120.2802850000,0.4465767630,"7550",255156.81100000,669696.39440000,E1
"27884","43",204.5098164000,143.2529579000,0.4035178470,"7525",255181.81100000,669696.39440000,E1
"27885","41",192.2310276000,166.7967056000,0.3475103730,"7500",255206.81100000,669696.39440000,E1
"27886","34",179.9633878000,190.6960153000,0.2948784270,"7500",255231.81100000,669696.39440000,E1
"27887","27",169.3513366000,214.8459902000,0.2432572610,"7475",255256.81100000,669696.39440000,E1
"27888","18",161.7901843000,239.1613484000,0.1971029480,"7475",255281.81100000,669696.39440000,E1
"27889","10",155.1093404000,263.5063521000,0.1576763480,"7450",255306.81100000,669696.39440000,E0
"27890","10",148.4688678000,287.8513558000,0.1267459900,"7450",255331.81100000,669696.39440000,E0
"27891","3",144.4006890000,312.1963595000,0.0938796680,"7425",255356.81100000,669696.39440000,E0
